V_P1,V_P2,current,charge (space separated),state,sensor_1,sensor_2
0,-0.21010101,2.09E-11,3,1,0.052933388,0.066081259
0,-0.214141414,1.19E-13,3,1,0.052839438,0.065987309
0,-0.218181818,7.12E-16,3,1,0.052745488,0.06589336
0,-0.222222222,3.66E-18,3,1,0.052651539,0.06579941
0,-0.226262626,2.02E-17,3,1,0.052557589,0.065705461
0,-0.23030303,5.50E-15,3,1,0.05246364,0.065611511
0,-0.234343434,1.37E-12,3,1,0.05236969,0.065517562
0,-0.238383838,1.09E-09,3,1,0.052275741,0.065423612
0,-0.242424242,3.02E-09,4,1,0.067799167,0.085329662
0,-0.246464646,2.08E-11,4,1,0.067705218,0.085235713
0,-0.250505051,1.10E-13,4,1,0.067611268,0.085141763
0,-0.254545455,3.97E-16,4,1,0.067517318,0.085047814
0,-0.258585859,1.27E-17,4,1,0.067423369,0.084953864
0,-0.262626263,3.20E-15,4,1,0.067329419,0.084859915
0,-0.266666667,8.79E-13,4,1,0.06723547,0.084765965
0,-0.270707071,9.99E-10,4,1,0.06714152,0.084672015
0,-0.274747475,1.35E-08,5,1,0.082664947,0.104578066
0,-0.278787879,1.24E-10,5,1,0.082570997,0.104484116
0,-0.282828283,5.86E-13,5,1,0.082477048,0.104390167
0,-0.286868687,1.47E-15,5,1,0.082383098,0.104296217
0,-0.290909091,1.29E-16,5,1,0.082289149,0.104202268
0,-0.294949495,3.89E-14,5,1,0.082195199,0.104108318
0,-0.298989899,1.21E-11,5,1,0.082101249,0.104014368
0,-0.303030303,3.44E-09,5,1,0.0820073,0.103920419
0,-0.307070707,9.95E-09,6,1,0.097530726,0.123826469
0,-0.311111111,4.71E-11,6,1,0.097436777,0.12373252
0,-0.315151515,2.01E-13,6,1,0.097342827,0.12363857
0,-0.319191919,1.27E-09,0,0,0,0
0,-0.323232323,1.45E-09,0,0,0,0
0,-0.327272727,1.65E-09,0,0,0,0
0,-0.331313131,1.90E-09,0,0,0,0
0,-0.335353535,2.21E-09,0,0,0,0
0,-0.339393939,2.61E-09,0,0,0,0
0,-0.343434343,3.18E-09,0,0,0,0
0,-0.347474747,3.81E-09,0,0,0,0
0,-0.351515152,4.26E-09,0,0,0,0
0,-0.355555556,4.38E-09,0,0,0,0
0,-0.35959596,4.55E-09,0,0,0,0
0,-0.363636364,4.71E-09,0,0,0,0
0,-0.367676768,4.72E-09,0,0,0,0
0,-0.371717172,4.91E-09,0,0,0,0
0,-0.375757576,4.87E-09,0,0,0,0
0,-0.37979798,4.90E-09,0,0,0,0
0,-0.383838384,4.88E-09,0,0,0,0
0,-0.387878788,4.90E-09,0,0,0,0
0,-0.391919192,5.00E-09,0,0,0,0
0,-0.395959596,5.20E-09,0,0,0,0
0,-0.4,5.17E-09,0,0,0,0
-0.004040404,0,1.02E-18,0,0,0,0
-0.004040404,-0.004040404,1.38E-18,0,0,0,0
-0.004040404,-0.008080808,1.88E-18,0,0,0,0
-0.004040404,-0.012121212,2.59E-18,0,0,0,0
-0.004040404,-0.016161616,3.63E-18,0,0,0,0
-0.004040404,-0.02020202,4.86E-18,0,0,0,0
-0.004040404,-0.024242424,7.10E-18,0,0,0,0
-0.004040404,-0.028282828,9.90E-18,0,0,0,0
-0.004040404,-0.032323232,1.39E-17,0,0,0,0
-0.004040404,-0.036363636,1.99E-17,0,0,0,0
-0.004040404,-0.04040404,2.88E-17,0,0,0,0
-0.004040404,-0.044444444,4.08E-17,0,0,0,0
-0.004040404,-0.048484848,6.10E-17,0,0,0,0
-0.004040404,-0.052525253,8.94E-17,0,0,0,0
-0.004040404,-0.056565657,1.34E-16,0,0,0,0
-0.004040404,-0.060606061,2.04E-16,0,0,0,0
-0.004040404,-0.064646465,3.24E-16,0,0,0,0
-0.004040404,-0.068686869,5.19E-16,0,0,0,0
-0.004040404,-0.072727273,3.30E-32,0,1,0.009260188,0.009260188
-0.004040404,-0.076767677,2.33E-29,0,1,0.009166239,0.009166239
-0.004040404,-0.080808081,4.80E-27,0,1,0.009072289,0.009072289
-0.004040404,-0.084848485,3.39E-25,0,1,0.008978339,0.008978339
-0.004040404,-0.088888889,6.11E-23,0,1,0.00888439,0.00888439
-0.004040404,-0.092929293,3.88E-21,0,1,0.00879044,0.00879044
-0.004040404,-0.096969697,6.43E-19,0,1,0.008696491,0.008696491
-0.004040404,-0.101010101,4.70E-17,0,1,0.008602541,0.008602541
-0.004040404,-0.105050505,6.27E-15,0,1,0.008508592,0.008508592
-0.004040404,-0.109090909,5.51E-13,0,1,0.008414642,0.008414642
-0.004040404,-0.113131313,3.61E-11,0,1,0.008320692,0.008320692
-0.004040404,-0.117171717,2.49E-10,1,1,0.023844119,0.028226743
-0.004040404,-0.121212121,7.48E-12,1,1,0.023750169,0.028132793
-0.004040404,-0.125252525,1.16E-13,1,1,0.02365622,0.028038844
-0.004040404,-0.129292929,1.05E-15,1,1,0.02356227,0.027944894
-0.004040404,-0.133333333,1.45E-17,1,1,0.023468321,0.027850945
-0.004040404,-0.137373737,1.98E-19,1,1,0.023374371,0.027756995
-0.004040404,-0.141414141,2.90E-21,1,1,0.023280422,0.027663045
-0.004040404,-0.145454545,4.82E-20,1,1,0.023186472,0.027569096
-0.004040404,-0.149494949,9.27E-18,1,1,0.023092522,0.027475146
-0.004040404,-0.153535354,1.54E-15,1,1,0.022998573,0.027381197
-0.004040404,-0.157575758,2.58E-13,1,1,0.022904623,0.027287247
-0.004040404,-0.161616162,9.35E-11,1,1,0.022810674,0.027193298
-0.004040404,-0.165656566,9.73E-10,2,1,0.0383341,0.047099348
-0.004040404,-0.16969697,1.59E-11,2,1,0.038240151,0.047005398
-0.004040404,-0.173737374,1.17E-13,2,1,0.038146201,0.046911449
-0.004040404,-0.177777778,9.15E-16,2,1,0.038052252,0.046817499
-0.004040404,-0.181818182,3.35E-18,2,1,0.037958302,0.04672355
-0.004040404,-0.185858586,1.60E-19,2,1,0.037864353,0.0466296
-0.004040404,-0.18989899,3.21E-17,2,1,0.037770403,0.046535651
-0.004040404,-0.193939394,7.06E-15,2,1,0.037676453,0.046441701
-0.004040404,-0.197979798,1.75E-12,2,1,0.037582504,0.046347751
-0.004040404,-0.202020202,3.81E-10,2,1,0.037488554,0.046253802
-0.004040404,-0.206060606,1.23E-09,3,1,0.053011981,0.066159852
-0.004040404,-0.21010101,8.40E-12,3,1,0.052918031,0.066065903
-0.004040404,-0.214141414,4.88E-14,3,1,0.052824082,0.065971953
-0.004040404,-0.218181818,2.98E-16,3,1,0.052730132,0.065878004
-0.004040404,-0.222222222,1.89E-18,3,1,0.052636183,0.065784054
-0.004040404,-0.226262626,1.10E-16,3,1,0.052542233,0.065690104
-0.004040404,-0.23030303,2.91E-14,3,1,0.052448283,0.065596155
-0.004040404,-0.234343434,2.56E-11,3,1,0.052354334,0.065502205
-0.004040404,-0.238383838,4.64E-09,3,1,0.052260384,0.065408256
-0.004040404,-0.242424242,1.45E-09,4,1,0.067783811,0.085314306
-0.004040404,-0.246464646,8.16E-12,4,1,0.067689861,0.085220357
-0.004040404,-0.250505051,4.38E-14,4,1,0.067595912,0.085126407
-0.004040404,-0.254545455,1.59E-16,4,1,0.067501962,0.085032458
-0.004040404,-0.258585859,6.54E-17,4,1,0.067408013,0.084938508
-0.004040404,-0.262626263,1.88E-14,4,1,0.067314063,0.084844558
-0.004040404,-0.266666667,2.23E-11,4,1,0.067220114,0.084750609
-0.004040404,-0.270707071,5.67E-09,4,1,0.067126164,0.084656659
-0.004040404,-0.274747475,8.32E-09,5,1,0.082649591,0.10456271
-0.004040404,-0.278787879,4.70E-11,5,1,0.082555641,0.10446876
-0.004040404,-0.282828283,2.24E-13,5,1,0.082461691,0.104374811
-0.004040404,-0.286868687,5.55E-16,5,1,0.082367742,0.104280861
-0.004040404,-0.290909091,8.36E-16,5,1,0.082273792,0.104186911
-0.004040404,-0.294949495,2.67E-13,5,1,0.082179843,0.104092962
-0.004040404,-0.298989899,8.35E-11,5,1,0.082085893,0.103999012
-0.004040404,-0.303030303,5.23E-08,5,1,0.081991944,0.103905063
-0.004040404,-0.307070707,3.65E-09,6,1,0.09751537,0.123811113
-0.004040404,-0.311111111,1.59E-11,6,1,0.097421421,0.123717164
-0.004040404,-0.315151515,1.83E-09,0,0,0,0
-0.004040404,-0.319191919,2.12E-09,0,0,0,0
-0.004040404,-0.323232323,2.50E-09,0,0,0,0
-0.004040404,-0.327272727,3.03E-09,0,0,0,0
-0.004040404,-0.331313131,3.47E-09,0,0,0,0
-0.004040404,-0.335353535,3.78E-09,0,0,0,0
-0.004040404,-0.339393939,4.11E-09,0,0,0,0
-0.004040404,-0.343434343,4.35E-09,0,0,0,0
-0.004040404,-0.347474747,4.67E-09,0,0,0,0
-0.004040404,-0.351515152,4.66E-09,0,0,0,0
-0.004040404,-0.355555556,4.80E-09,0,0,0,0
-0.004040404,-0.35959596,4.84E-09,0,0,0,0
-0.004040404,-0.363636364,4.94E-09,0,0,0,0
-0.004040404,-0.367676768,4.83E-09,0,0,0,0
-0.004040404,-0.371717172,4.84E-09,0,0,0,0
-0.004040404,-0.375757576,4.86E-09,0,0,0,0
-0.004040404,-0.37979798,4.83E-09,0,0,0,0
-0.004040404,-0.383838384,4.98E-09,0,0,0,0
-0.004040404,-0.387878788,4.77E-09,0,0,0,0
-0.004040404,-0.391919192,5.04E-09,0,0,0,0
-0.004040404,-0.395959596,1.26E-12,0,1,0.001744223,0.001744223
-0.004040404,-0.4,1.36E-08,0,1,0.001650273,0.001650273
-0.008080808,0,1.38E-18,0,0,0,0
-0.008080808,-0.004040404,1.87E-18,0,0,0,0
-0.008080808,-0.008080808,2.56E-18,0,0,0,0
-0.008080808,-0.012121212,3.54E-18,0,0,0,0
-0.008080808,-0.016161616,4.96E-18,0,0,0,0
-0.008080808,-0.02020202,6.64E-18,0,0,0,0
-0.008080808,-0.024242424,9.76E-18,0,0,0,0
-0.008080808,-0.028282828,1.36E-17,0,0,0,0
-0.008080808,-0.032323232,1.93E-17,0,0,0,0
-0.008080808,-0.036363636,2.76E-17,0,0,0,0
-0.008080808,-0.04040404,4.04E-17,0,0,0,0
-0.008080808,-0.044444444,5.65E-17,0,0,0,0
-0.008080808,-0.048484848,8.48E-17,0,0,0,0
-0.008080808,-0.052525253,1.24E-16,0,0,0,0
-0.008080808,-0.056565657,1.86E-16,0,0,0,0
-0.008080808,-0.060606061,2.87E-16,0,0,0,0
-0.008080808,-0.064646465,4.61E-16,0,0,0,0
-0.008080808,-0.068686869,7.27E-16,0,0,0,0
-0.008080808,-0.072727273,6.96E-32,0,1,0.009244832,0.009244832
-0.008080808,-0.076767677,6.39E-29,0,1,0.009150882,0.009150882
